gene_id,dominant_isoform,Symbol
AT1G01010,AT1G01010.1,"ANAC001,NAC001"
AT1G01020,AT1G01020.1,ARV1
AT1G01030,AT1G01030.1,NGA3
AT1G01040,AT1G01040.2,DCL1
AT1G01046,AT1G01046.1,MIR838A
AT1G01050,AT1G01050.1,"AtPPa1,PPa1"
AT1G01060,AT1G01060.1,"LHY,LHY1"
AT1G01070,AT1G01070.1,
AT1G01073,AT1G01073.1,
AT1G01080,AT1G01080.2,
AT1G01090,AT1G01090.1,PDH-E1ALPHA
AT1G01100,AT1G01100.1,
AT1G01110,AT1G01110.2,IQD18
AT1G01115,AT1G01115.1,
AT1G01120,AT1G01120.1,KCS1
AT1G01130,AT1G01130.1,
AT1G01140,AT1G01140.3,"CIPK9,PKS6"
AT1G01150,AT1G01150.1,
AT1G01160,AT1G01160.2,GIF2
AT1G01170,AT1G01170.1,
AT1G01180,AT1G01180.1,
AT1G01183,AT1G01183.1,"MIR165A,MIR165"
AT1G01190,AT1G01190.1,CYP78A8
AT1G01200,AT1G01200.1,"ATRABA3,ATRAB-A3,RABA3"
AT1G01210,AT1G01210.1,
AT1G01220,AT1G01220.1,"FKGP,AtFKGP"
AT1G01225,AT1G01225.1,
AT1G01230,AT1G01230.1,
AT1G01240,AT1G01240.1,
AT1G01250,AT1G01250.1,
AT1G01260,AT1G01260.1,
AT1G01270,AT1G01270.1,
AT1G01280,AT1G01280.1,"CYP703A2,CYP703"
AT1G01290,AT1G01290.1,CNX3
AT1G01300,AT1G01300.1,
AT1G01305,AT1G01305.1,
AT1G01310,AT1G01310.1,
AT1G01320,AT1G01320.1,
AT1G01340,AT1G01340.2,CNGC10
AT1G01350,AT1G01350.1,
AT1G01355,AT1G01355.1,
AT1G01360,AT1G01360.1,"RCAR1,PYL9"
AT1G01370,AT1G01370.1,"HTR12,CENH3"
AT1G01380,AT1G01380.1,ETC1
AT1G01390,AT1G01390.1,
AT1G01400,AT1G01400.1,
AT1G01410,AT1G01410.1,"APUM22,PUM22"
AT1G01420,AT1G01420.1,UGT72B3
AT1G01430,AT1G01430.1,TBL25
AT1G01440,AT1G01440.1,
AT1G01448,AT1G01448.1,
AT1G01450,AT1G01450.1,
AT1G01453,AT1G01453.2,
AT1G01460,AT1G01460.1,"ATPIPK11,PIPK11"
AT1G01470,AT1G01470.1,"LEA14,LSR3"
AT1G01471,AT1G01471.1,
AT1G01480,AT1G01480.1,"ACS2,AT-ACC2"
AT1G01490,AT1G01490.1,
AT1G01500,AT1G01500.1,
AT1G01510,AT1G01510.1,AN
AT1G01520,AT1G01520.1,
AT1G01530,AT1G01530.1,AGL28
AT1G01540,AT1G01540.2,
AT1G01550,AT1G01550.1,BPS1
AT1G01560,AT1G01560.2,"ATMPK11,MPK11"
AT1G01570,AT1G01570.1,
AT1G01580,AT1G01580.1,"FRO2,FRD1,ATFRO2"
AT1G01590,AT1G01590.1,"FRO1,ATFRO1"
AT1G01600,AT1G01600.1,CYP86A4
AT1G01610,AT1G01610.1,"ATGPAT4,GPAT4"
AT1G01620,AT1G01620.1,"PIP1C,TMP-B,PIP1;3"
AT1G01630,AT1G01630.1,
AT1G01640,AT1G01640.1,
AT1G01650,AT1G01650.1,"SPPL4,ATSPPL4"
AT1G01660,AT1G01660.1,
AT1G01670,AT1G01670.1,
AT1G01680,AT1G01680.1,"ATPUB54,PUB54"
AT1G01690,AT1G01690.1,"ATPRD3,PRD3"
AT1G01695,AT1G01695.1,
AT1G01700,AT1G01700.1,"ATROPGEF2,ROPGEF2"
AT1G01710,AT1G01710.1,
AT1G01720,AT1G01720.1,"ATAF1,ANAC002"
AT1G01725,AT1G01725.1,
AT1G01730,AT1G01730.1,
AT1G01740,AT1G01740.1,
AT1G01750,AT1G01750.1,ADF11
AT1G01760,AT1G01760.1,
AT1G01770,AT1G01770.1,
AT1G01780,AT1G01780.1,PLIM2b
AT1G01790,AT1G01790.1,"KEA1,ATKEA1"
AT1G01800,AT1G01800.1,
AT1G01810,AT1G01810.1,
AT1G01820,AT1G01820.1,PEX11C
AT1G01830,AT1G01830.2,
AT1G01840,AT1G01840.1,
AT1G01860,AT1G01860.1,PFC1
AT1G01870,AT1G01870.1,
AT1G01880,AT1G01880.1,
AT1G01890,AT1G01890.1,
AT1G01900,AT1G01900.1,"ATSBT1.1,SBTI1.1"
AT1G01910,AT1G01910.1,
AT1G01920,AT1G01920.1,
AT1G01930,AT1G01930.1,
AT1G01940,AT1G01940.1,
AT1G01950,AT1G01950.3,ARK2
AT1G01960,AT1G01960.1,EDA10
AT1G01970,AT1G01970.1,
AT1G01980,AT1G01980.1,
AT1G01990,AT1G01990.1,
AT1G02000,AT1G02000.1,GAE2
